Tijdstempel,What's your age ?,My mother tongue is...,Where do you live ?,Who is your (main) broker,What is your FIRE target date?,My main strategy is investing in... (you can only select one),... but my portfolio also contains... (you can select multiple),How big is your emergency fund?,How big is your portfolio ? (Not including your home),What is your FIRE target (portfolio size),"How much do you save each month? (choose closest)(Netto savings rate. Or in other words, how much of the money you get every month can you save?",What is your savings rate ?,I answer these questions as a....
22-7-2021 7:20:47,I am in my 20's,...Dutch,Province of East Flanders,DeGiro,Before 35 years of age,Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...),"Physical real estate (house - apartment - garage - agricultural - etc...), TAK23 Pension saving",18.000-20.000€,Between 0 and 25k€,Between 1.4M€ and 1.6M€,Up to 1200€,Less then 45% (but more then above answer),couple trying to reach FIRE (2 person)
22-7-2021 7:29:33,I am in my 30's,...Dutch,Province of West Flanders,DeGiro,I don't think I will FIRE before I officially retire (67),Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...),"Crypto currency, Mutual share funds, Mutual bond funds, Physical real estate (house - apartment - garage - agricultural - etc...)",10.000-12.000€,Between 100 and 125k€,Between 1.2M€ and 1.4M€,Up to 1200€,Less then 35% (but more then above answer),couple trying to reach FIRE (2 person)
22-7-2021 7:34:39,I am in my 20's,...Dutch,Province of Limburg,Bolero,Before 50 years of age,Single shares or bonds,"Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...), Crypto currency, Physical real estate (house - apartment - garage - agricultural - etc...)",4.000-6.000€,Between 125 and 150k€,Between 4.5M€ and 5M€,Up to 1200€,Less then 60% (but more then above answer),single person trying to reach FIRE (1 person)
22-7-2021 7:37:18,I am in my 30's,...Dutch,Province of Flemish Brabant,Bolero,Before 40 years of age,Single shares or bonds,"Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...), Crypto currency",2.000-4.000€,Between 300 and 350k€,Between 500 and 550k€,Up to 1000€,Less then 50% (but more then above answer),single person trying to reach FIRE (1 person)
22-7-2021 7:44:58,I am in my 30's,...Dutch,Province of Flemish Brabant,Bolero,I don't think I will FIRE before I officially retire (67),Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...),"Crypto currency, Physical real estate (house - apartment - garage - agricultural - etc...), TAK23 Pension saving",More then 20.000€,Between 200 and 250k€,Between 700 and 800k€,Up to 1500€,Less then 60% (but more then above answer),single person trying to reach FIRE (1 person)
22-7-2021 7:49:16,I am in my 30's,...Dutch,Province of Flemish Brabant,DeGiro,Before 55 years of age,TAK21 Pension saving,Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...),More then 20.000€,Between 250 and 300k€,Between 600 and 700k€,Up to 200€,Less then 15% (but more then above answer),couple trying to reach FIRE (2 person)
22-7-2021 7:59:04,I am in my 30's,...Dutch,Province of Antwerp,DeGiro,Before 50 years of age,Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...),,More then 20.000€,Between 350 and 400k€,Between 600 and 700k€,Up to 2000€,Less then 75% (but more then above answer),single person trying to reach FIRE (1 person)
22-7-2021 8:00:53,I am in my 30's,,Province of Antwerp,,Before 50 years of age,Crypto currency,Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...),18.000-20.000€,Between 25 and 50k€,Between 900 and 1M€,Up to 2000€,Less then 70% (but more then above answer),single person trying to reach FIRE (1 person)
22-7-2021 8:02:37,I am in my 20's,...Dutch,Province of East Flanders,DeGiro,Before 40 years of age,Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...),"Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...), Commodities: Gold - Silver - Platinum - etc..., Crypto currency, Mutual share funds, Single shares or bonds, TAK23 Pension saving",6.000-8.000€,Between 200 and 250k€,Between 1M€ and 1.2M€,Up to 800€,Less then 30% (but more then above answer),single person trying to reach FIRE (1 person)
22-7-2021 8:06:43,I am in my 20's,....French,Brussels Capital Region,DeGiro,Before 45 years of age,Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...),,2.000-4.000€,Between 0 and 25k€,Between 900 and 1M€,Up to 900€,Less then 45% (but more then above answer),single person trying to reach FIRE (1 person)
22-7-2021 8:08:05,I am in my 30's,...Dutch,Province of Flemish Brabant,Bolero,Before 60 years of age,Single shares or bonds,REIT ETF's (ETF's which buy's shares of multiple REIT's),4.000-6.000€,Between 50 and 75k€,Between 900 and 1M€,Up to 1000€,Less then 30% (but more then above answer),single person trying to reach FIRE (1 person)
22-7-2021 8:12:03,I am in my 30's,...Dutch,Province of West Flanders,Bolero,Before 45 years of age,Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...),Single shares or bonds,18.000-20.000€,Between 350 and 400k€,Between 3M€ and 3.5M€,Up to 1000€,Less then 25% (but more then above answer),single person trying to reach FIRE (1 person)
22-7-2021 8:12:34,I am in my 30's,....French,Province of Flemish Brabant,DeGiro,I don't think I will FIRE before I officially retire (67),Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...),"Crypto currency, Physical real estate (house - apartment - garage - agricultural - etc...)",More then 20.000€,,,Up to 2000€,Less then 50% (but more then above answer),single person trying to reach FIRE (1 person)
22-7-2021 8:13:12,I am in my 30's,...English,Brussels Capital Region,Bolero,Before 50 years of age,Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...),Physical real estate (house - apartment - garage - agricultural - etc...),14.000-16.000€,Between 300 and 350k€,Between 1.8M€ and 2M€,Above 4000€,Less then 50% (but more then above answer),couple trying to reach FIRE (2 person)
22-7-2021 8:13:52,I am in my 30's,...Dutch,Province of Antwerp,Bolero,Before 45 years of age,Physical real estate (house - apartment - garage - agricultural - etc...),"Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...), Single shares or bonds, TAK21 Pension saving, TAK23 Pension saving",10.000-12.000€,Between 500 and 550k€,Between 3M€ and 3.5M€,Above 4000€,Less then 85% (but more then above answer),couple trying to reach FIRE (2 person)
22-7-2021 8:15:36,I am in my 30's,...Dutch,Province of Limburg,DeGiro,Before 40 years of age,Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...),Physical real estate (house - apartment - garage - agricultural - etc...),More then 20.000€,Between 600 and 700k€,Between 1M€ and 1.2M€,Up to 2000€,Less then 55% (but more then above answer),single person trying to reach FIRE (1 person)
22-7-2021 8:19:30,I am in my 20's,....French,Province of Liège,Bolero,Before 40 years of age,Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...),Single shares or bonds,6.000-8.000€,Between 0 and 25k€,Between 900 and 1M€,Up to 300€,Less then 15% (but more then above answer),couple trying to reach FIRE (2 person)
22-7-2021 8:23:48,I am in my 30's,...English,Brussels Capital Region,Keytrade,Before 55 years of age,Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...),"Broadly diversified bond ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...), Crypto currency, Options, REIT ETF's (ETF's which buy's shares of multiple REIT's), Single shares or bonds, TAK21 Pension saving",More then 20.000€,Between 450 and 500k€,Between 1.8M€ and 2M€,Up to 2200€,Less then 55% (but more then above answer),couple trying to reach FIRE (2 person)
22-7-2021 8:30:21,I am in my 30's,...Dutch,Province of Flemish Brabant,"Just starting out, still have to choose one",I don't think I will FIRE before I officially retire (67),Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...),TAK23 Pension saving,4.000-6.000€,Between 0 and 25k€,Between 50 and 75k€,Up to 400€,Less then 15% (but more then above answer),couple trying to reach FIRE for multiple people (3 persons or more)(example: long term taking care of  disabled kids)
22-7-2021 8:34:26,I am in my 20's,...Dutch,Province of East Flanders,DeGiro,Before 45 years of age,Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...),,6.000-8.000€,Between 0 and 25k€,Between 1.4M€ and 1.6M€,Up to 2400€,Less then 85% (but more then above answer),single person trying to reach FIRE (1 person)
22-7-2021 8:36:04,I am in my 40's,Croatian,I am living in another country,Trading 212,I don't think I will FIRE before I officially retire (67),Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...),Single shares or bonds,8.000-10.000€,Between 0 and 25k€,Between 500 and 550k€,Up to 1500€,Less then 20% (but more then above answer),single person trying to reach FIRE (1 person)
22-7-2021 8:36:43,I am in my 30's,...Dutch,Brussels Capital Region,Medirect,Before 50 years of age,Physical real estate (house - apartment - garage - agricultural - etc...),Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...),4.000-6.000€,Between 400 and 450k€,Between 1.8M€ and 2M€,Up to 1000€,Less then 20% (but more then above answer),couple trying to reach FIRE (2 person)
22-7-2021 8:52:05,I am in my 20's,...Dutch,Province of East Flanders,DeGiro,Before 50 years of age,Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...),Crypto currency,2.000-4.000€,Between 25 and 50k€,Between 900 and 1M€,Up to 500€,Less then 30% (but more then above answer),single person trying to reach FIRE (1 person)
22-7-2021 8:53:31,I am in my 30's,...Dutch,Province of Antwerp,DeGiro,Before 50 years of age,Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...),Single shares or bonds,8.000-10.000€,Between 75 and 100k€,Between 1M€ and 1.2M€,Up to 1400€,Less then 55% (but more then above answer),single person trying to reach FIRE (1 person)
22-7-2021 9:04:14,I am in my 30's,...Dutch,Province of Antwerp,DeGiro,Before 60 years of age,Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...),"Physical real estate (house - apartment - garage - agricultural - etc...), Single shares or bonds",More then 20.000€,Between 100 and 125k€,Between 1.6M€ and 1.8M€,Up to 1500€,Less then 55% (but more then above answer),single person trying to reach FIRE (1 person)
22-7-2021 9:18:54,I am in my 30's,...Dutch,Province of East Flanders,DeGiro,Before 50 years of age,Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...),Single shares or bonds,8.000-10.000€,Between 0 and 25k€,Between 300 and 350k€,Up to 1000€,Less then 50% (but more then above answer),single person trying to reach FIRE (1 person)
22-7-2021 9:21:01,I am in my 20's,...Dutch,Province of Antwerp,Bolero,I don't think I will FIRE before I officially retire (67),Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...),"Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...), Mutual share funds, Single shares or bonds",18.000-20.000€,Between 50 and 75k€,Between 500 and 550k€,Up to 800€,Less then 45% (but more then above answer),couple trying to reach FIRE (2 person)
22-7-2021 9:23:22,I am in my 20's,...Dutch,Province of Flemish Brabant,DeGiro,Before 55 years of age,Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...),Single shares or bonds,8.000-10.000€,Between 0 and 25k€,Between 500 and 550k€,Up to 100€,Less then 5% (but more then above answer),single person trying to reach FIRE (1 person)
22-7-2021 9:27:52,I am in my 20's,...Dutch,Province of Antwerp,Bolero,Before 45 years of age,Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...),Crypto currency,10.000-12.000€,Between 200 and 250k€,Between 2.2M€ and 2.4M€,Up to 1000€,Less then 50% (but more then above answer),single person trying to reach FIRE (1 person)
22-7-2021 9:30:36,I am in my 20's,...Dutch,Brussels Capital Region,Bolero,Before 55 years of age,Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...),"Alternative investments (Wine - Whiskey - Cars - Arts - etc...), Single shares or bonds",10.000-12.000€,Between 0 and 25k€,Between 1M€ and 1.2M€,Up to 300€,Less then 20% (but more then above answer),single person trying to reach FIRE (1 person)
22-7-2021 9:32:53,I am in my 20's,...Dutch,Province of Antwerp,"Just starting out, still have to choose one",Before 67 years of age,Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...),,,,,Up to 1800€,Less then 95% (but more then above answer),single person trying to reach FIRE (1 person)
22-7-2021 9:33:01,I am in my 30's,...Dutch,Province of East Flanders,Mexem,Before 45 years of age,Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...),Physical real estate (house - apartment - garage - agricultural - etc...),6.000-8.000€,Between 25 and 50k€,Between 1M€ and 1.2M€,Above 4000€,Less then 70% (but more then above answer),single person trying to reach FIRE (1 person)
